id,name,adset_id,campaign_id,status,creative,tracking_specs,conversion_specs,created_time,updated_time,creative_details
23848456664230177,Product Ads - Top Customers Combo Trendy Products carouselProducts,23848236414970177,23848236412050177,PAUSED,{'id': '23848456664140177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['link_click'], 'post': ['4454262124618622'], 'post.wall': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4454262124618622']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-07-12T05:06:14-0400,2021-08-18T17:12:09-0400,{}
23848326154690177,Collection Page Ads - Recent Visitors video,23848326154260177,23848236412050177,PAUSED,{'id': '23848432728190177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4444381735606661']}, {'action.type': ['link_click'], 'post': ['4444381735606661'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-06-23T08:32:10-0400,2021-08-18T17:12:06-0400,{}
23848616246150177,1-time customers(Testimonial) - 1-time Customers carouselProducts,23848616245870177,23848236412050177,PAUSED,{'id': '23848616246000177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['link_click'], 'post': ['4521208371257330'], 'post.wall': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4521208371257330']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-08-04T07:05:43-0400,2021-08-18T17:12:03-0400,{}
23848236413800177,Product Ads - Warm Visitors carouselProducts,23848236412300177,23848236412050177,PAUSED,{'id': '23848268424850177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4378002458911256']}, {'action.type': ['link_click'], 'post': ['4378002458911256'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-06-09T15:52:03-0400,2021-08-18T17:12:00-0400,{}
23848326155490177,Collection Page Ads - Cold Visitors video,23848326154950177,23848236412050177,PAUSED,{'id': '23848432729170177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['4444382115606623']}, {'action.type': ['link_click'], 'post': ['4444382115606623'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4218082631546630']}]",2021-06-23T08:32:26-0400,2021-08-18T17:11:59-0400,{}
23847017753020177,Product Ads - Product Views (Dynamic)  carouselProducts,23847017752450177,23847017751780177,PAUSED,{'id': '23847017752680177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['3976971272347712']}, {'action.type': ['link_click'], 'post': ['3976971272347712'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_engagement'], 'conversion_id': ['4151397124887752']}]",2021-01-28T04:18:22-0500,2021-08-18T17:11:57-0400,{}
23847017752250177,Product Ads - Add-To-Cart (Dynamic)  carouselProducts,23847017751970177,23847017751780177,PAUSED,{'id': '23847017752140177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['link_click'], 'post': ['3976970882347751'], 'post.wall': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['3976970882347751']}]","[{'action.type': ['offsite_engagement'], 'conversion_id': ['4151397124887752']}]",2021-01-28T04:18:14-0500,2021-08-18T17:11:56-0400,{}
23847017753700177,Product Ads - Prospective Audience  carouselProducts,23847017753260177,23847017751780177,PAUSED,{'id': '23847017753510177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['link_click'], 'post': ['3976971679014338'], 'post.wall': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['3976971679014338']}]","[{'action.type': ['offsite_engagement'], 'conversion_id': ['4151397124887752']}]",2021-01-28T04:18:29-0500,2021-08-18T17:11:54-0400,{}
23847017751670177,Product Ads - Smart Lookalike Mini Collection carouselProducts,23847017750730177,23847017750660177,PAUSED,{'id': '23847062540850177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['3990731190971720']}, {'action.type': ['link_click'], 'post': ['3990731190971720'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4971349122940174']}]",2021-01-28T04:18:06-0500,2021-08-18T17:11:53-0400,{}
23847017762460177,Product Ads - Warm Visitors Gift Collection carouselProducts,23847017761900177,23847017761480177,PAUSED,{'id': '23847062541320177'},"[{'action.type': ['offsite_conversion'], 'fb_pixel': ['183235503589705']}, {'action.type': ['commerce_event'], 'page': ['124319427612935']}, {'action.type': ['post_engagement'], 'page': ['124319427612935'], 'post': ['3990731540971685']}, {'action.type': ['link_click'], 'post': ['3990731540971685'], 'post.wall': ['124319427612935']}]","[{'action.type': ['offsite_conversion'], 'conversion_id': ['4971349122940174']}]",2021-01-28T04:19:32-0500,2021-08-18T17:11:52-0400,{}
